GEO_ID,NAME,S2301_C01_001E,S2301_C04_021E,S2301_C04_022E,S2301_C04_023E
,,,,,
0500000US06001,"Alameda County, California",1335756,4.8,4.7,4.8
0500000US06003,"Alpine County, California",934,20.9,24.6,15.6
0500000US06005,"Amador County, California",32677,8.4,10.4,6
0500000US06007,"Butte County, California",186682,8.2,9,7.3
0500000US06009,"Calaveras County, California",38555,5.8,7.1,4.4
0500000US06011,"Colusa County, California",16229,5.3,3.7,7.4
0500000US06013,"Contra Costa County, California",902257,5.8,5.8,5.8
0500000US06015,"Del Norte County, California",22005,8.5,12.1,4.9
0500000US06017,"El Dorado County, California",153562,5.7,6.4,4.9
0500000US06019,"Fresno County, California",727089,8.8,8.2,9.5
0500000US06021,"Glenn County, California",21351,6.3,6,6.6
0500000US06023,"Humboldt County, California",112208,6.9,7.7,6
0500000US06025,"Imperial County, California",133957,14.7,16,13.4
0500000US06027,"Inyo County, California",14865,4.8,6.2,3.2
0500000US06029,"Kern County, California",652959,9.8,9.6,10.2
0500000US06031,"Kings County, California",113475,8,7.6,8.6
0500000US06033,"Lake County, California",52331,9.1,11.1,6.9
0500000US06035,"Lassen County, California",26739,6.2,6.8,5.4
0500000US06037,"Los Angeles County, California",8115158,6.4,6.1,6.6
0500000US06039,"Madera County, California",117191,7.7,7.4,8
0500000US06041,"Marin County, California",212991,3.6,3.9,3.4
0500000US06043,"Mariposa County, California",15019,8.5,7.4,9.9
0500000US06045,"Mendocino County, California",71065,8.9,8.5,9.4
0500000US06047,"Merced County, California",197980,11.2,10.8,11.7
0500000US06049,"Modoc County, California",7429,7.8,13.8,1.7
0500000US06051,"Mono County, California",11803,3.3,2.4,4.3
0500000US06053,"Monterey County, California",331250,5.1,4.8,5.4
0500000US06055,"Napa County, California",114489,4.8,5.1,4.5
0500000US06057,"Nevada County, California",84229,5,5.4,4.6
0500000US06059,"Orange County, California",2538090,4.7,4.8,4.7
0500000US06061,"Placer County, California",304646,4.5,4.9,4
0500000US06063,"Plumas County, California",15985,6.7,8.5,4.6
0500000US06065,"Riverside County, California",1842591,7.9,7.6,8.3
0500000US06067,"Sacramento County, California",1186871,6.9,7.1,6.7
0500000US06069,"San Benito County, California",45675,6.9,5.9,8.1
0500000US06071,"San Bernardino County, California",1628558,8,7.8,8.3
0500000US06073,"San Diego County, California",2656740,6,5.8,6.2
0500000US06075,"San Francisco County, California",764514,4.5,4.8,4
0500000US06077,"San Joaquin County, California",553741,8.1,7.9,8.2
0500000US06079,"San Luis Obispo County, California",236821,4.1,3.9,4.3
0500000US06081,"San Mateo County, California",622386,3.9,4,3.8
0500000US06083,"Santa Barbara County, California",355380,5.5,5.7,5.3
0500000US06085,"Santa Clara County, California",1537154,4.6,4.3,4.9
0500000US06087,"Santa Cruz County, California",226263,5.7,5.8,5.5
0500000US06089,"Shasta County, California",144873,5.8,6.8,4.7
0500000US06091,"Sierra County, California",2540,5.2,6.9,3.6
0500000US06093,"Siskiyou County, California",35851,8.1,8.6,7.6
0500000US06095,"Solano County, California",351136,6.7,7.3,6
0500000US06097,"Sonoma County, California",412126,4.8,5.1,4.4
0500000US06099,"Stanislaus County, California",408846,9.9,9.4,10.6
0500000US06101,"Sutter County, California",73619,8.9,9.4,8.4
0500000US06103,"Tehama County, California",50022,9.1,9.4,8.7
0500000US06105,"Trinity County, California",11015,7.5,7.9,7.1
0500000US06107,"Tulare County, California",332597,9,9.1,8.9
0500000US06109,"Tuolumne County, California",46031,7,7.3,6.6
0500000US06111,"Ventura County, California",672054,5.5,5.5,5.5
0500000US06113,"Yolo County, California",174246,5.9,6.2,5.6
0500000US06115,"Yuba County, California",56589,7.9,8.1,7.8
